,0,1,2,3,4,5,6,7,8,9
678,2,1,2,2,0,2,1,1,1,0
31,2,2,2,1,1,0,0,2,1,1
169,2,1,1,2,0,0,2,0,0,1
713,2,0,2,1,1,1,0,2,0,0
243,2,0,1,2,2,1,1,0,2,1
753,1,2,2,1,2,0,1,0,0,0
434,1,0,2,1,2,1,2,2,0,1
908,0,2,0,2,2,0,1,1,1,0
930,0,0,2,1,1,1,2,2,0,0
28,2,2,2,1,1,0,2,0,1,1
427,1,0,2,2,2,0,2,1,1,1
595,0,0,2,1,2,0,2,1,0,1
474,1,0,0,2,2,2,1,1,2,1
447,1,0,2,0,2,1,2,2,1,1
864,1,0,2,0,1,2,2,0,1,0
940,0,0,1,0,2,1,2,2,1,0
1,2,2,2,2,1,1,1,2,1,1
49,2,2,2,1,0,0,0,0,1,1
466,1,0,1,2,0,1,2,2,2,1
55,2,2,2,0,1,2,0,1,1,1
271,2,0,1,0,2,1,0,0,2,1
373,1,1,2,2,2,1,2,0,0,1
435,1,0,2,1,2,1,2,0,2,1
598,0,0,2,1,1,2,1,2,2,1
631,2,2,1,2,1,1,1,2,0,0
118,2,1,2,2,0,1,2,1,0,1
514,0,2,1,0,2,0,0,2,1,1
411,1,1,0,2,2,2,1,0,2,1
502,0,2,1,1,2,2,0,2,1,1
69,2,2,2,0,0,1,2,1,1,1
904,0,2,1,0,1,2,1,2,0,0
611,0,0,1,2,2,2,1,0,0,1
342,1,2,1,0,2,0,0,2,0,1
689,2,1,2,0,1,0,0,1,2,0
107,2,2,0,1,2,1,0,2,1,1
687,2,1,2,0,1,1,2,1,2,0
